TTime,ETime,SN,Result,ErrorCode,COMPort_Open,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,

2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
2021-04-15-11:09:40,0.00m,DB0000000000,FAIL,1,FAIL,
